RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =           10     M =           12

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.077D-02  4.290D+00
    1    3     1     0  ---    1  6.0D+00  8.1D-02  1.363D-02  4.289D+00
    2    4     0     0  con    0  1.0D+00  5.8D-02  5.589D-03  4.289D+00
    3    5     0     0  con    0  1.0D+00  4.5D-02  5.356D-03  4.289D+00
    4    6     0     0  con    0  1.0D+00  9.0D-02  3.844D-03  4.289D+00
    5    8     0     0  con    1  4.0D-01  2.0D-02  1.283D-03  4.288D+00
    6    9     0     0  con    0  1.0D+00  1.3D-02  4.809D-04  4.288D+00
    7   10     0     0  con    0  1.0D+00  6.8D-03  4.406D-04  4.288D+00
    8   11     0     0  con    0  1.0D+00  6.1D-03  4.657D-04  4.288D+00
    9   12     0     0  con    0  1.0D+00  1.8D-02  6.426D-04  4.288D+00
   10   13     0     0  con    0  1.0D+00  4.2D-02  1.234D-03  4.288D+00
   11   14     0     0  con    0  1.0D+00  9.6D-02  1.949D-03  4.288D+00
   12   16     0     0  con    1  3.5D-01  5.6D-02  2.558D-03  4.288D+00
   13   17     0     0  con    0  1.0D+00  9.1D-02  9.449D-04  4.288D+00
   14   18     0     0  con    0  1.0D+00  1.1D-02  2.419D-04  4.288D+00
   15   19     0     0  con    0  1.0D+00  7.5D-03  1.504D-04  4.288D+00
   16   20     0     0  con    0  1.0D+00  6.2D-03  2.719D-04  4.288D+00
   17   21     0     0  con    0  1.0D+00  8.0D-04  1.229D-04  4.288D+00
   18   22     0     0  con    0  1.0D+00  8.5D-04  1.228D-04  4.288D+00
   19   23     0     0  con    0  1.0D+00  2.9D-03  1.807D-04  4.288D+00
   20   24     0     0  con    0  1.0D+00  5.6D-03  3.112D-04  4.288D+00
   21   25     0     0  con    0  1.0D+00  1.4D-02  4.750D-04  4.288D+00
   22   26     0     0  con    0  1.0D+00  3.5D-02  7.388D-04  4.288D+00
   23   27     0     0  con    0  1.0D+00  9.0D-02  1.022D-03  4.288D+00
   24   28     0     0  con    0  1.0D+00  2.2D-01  1.893D-03  4.288D+00
   25   29     0     0  con    0  1.0D+00  6.2D-01  3.018D-03  4.288D+00
   26   30     0     0  con    0  1.0D+00  8.1D-01  2.453D-03  4.288D+00
   27   31     0     0  con    0  1.0D+00  1.7D+00  2.852D-03  4.288D+00
   28   32     0     0  con    0  1.0D+00  3.7D+00  3.294D-03  4.288D+00
   29   33     0     0  con    0  1.0D+00  2.5D+00  2.712D-03  4.288D+00
   30   34     0     0  con    0  1.0D+00  2.4D-01  3.278D-03  4.288D+00
   31   35     0     0  con    0  1.0D+00  1.3D+00  6.686D-04  4.288D+00
   32   36     0     0  con    0  1.0D+00  1.4D-01  3.599D-04  4.288D+00
   33   37     0     0  con    0  1.0D+00  1.7D-02  5.812D-04  4.288D+00
   34   38     0     0  con    0  1.0D+00  7.7D-02  8.206D-04  4.288D+00
   35   39     0     0  con    0  1.0D+00  4.3D-01  1.659D-03  4.288D+00
   36   40     0     0  con    0  1.0D+00  2.2D-01  1.125D-03  4.288D+00
   37   41     0     0  con    0  1.0D+00  3.5D-01  3.799D-04  4.288D+00
   38   42     0     0  con    0  1.0D+00  2.2D-02  5.835D-05  4.288D+00
   39   43     0     0  con    0  1.0D+00  1.5D-02  4.761D-05  4.288D+00
   40   44     0     0  con    0  1.0D+00  1.0D-03  1.110D-05  4.288D+00
   41   45     0     0  con    0  1.0D+00  3.1D-04  3.109D-06  4.288D+00
   42   47     0     0  con    1  2.8D-01  1.3D-03  1.865D-06  4.288D+00
   43   48     0     0  con    0  1.0D+00  1.2D-04  1.599D-06  4.288D+00
   44   49     0     0  con    0  1.0D+00  3.8D-05  3.553D-07  4.288D+00
   45   52     0     0  con    2  3.8D-02  4.7D-05  5.329D-07  4.288D+00
   46   53     0     0  con    0  1.0D+00  3.6D-05  2.665D-07  4.288D+00
   47   62     0     0  con    8  3.0D-05  3.9D-09  1.776D-07  4.288D+00

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Total User time 0.000E+00 seconds.

